split,images,label_files,empty_labels,missing_labels,orphan_labels,invalid_class_id_count,class_name,annotation_count
train,2770,2770,0,0,0,0,Bus,843
train,2770,2770,0,0,0,0,Car,4369
train,2770,2770,0,0,0,0,Motorcycle,792
train,2770,2770,0,0,0,0,Person,4646
train,2770,2770,0,0,0,0,Truck,1628
train,2770,2770,0,0,0,0,mini-truck,1101
val,791,791,0,0,0,0,Bus,242
val,791,791,0,0,0,0,Car,1197
val,791,791,0,0,0,0,Motorcycle,249
val,791,791,0,0,0,0,Person,1332
val,791,791,0,0,0,0,Truck,409
val,791,791,0,0,0,0,mini-truck,302
test,396,396,0,0,0,0,Bus,146
test,396,396,0,0,0,0,Car,479
test,396,396,0,0,0,0,Motorcycle,104
test,396,396,0,0,0,0,Person,613
test,396,396,0,0,0,0,Truck,186
test,396,396,0,0,0,0,mini-truck,114
